Table Name:,"2001 CSO Select and Ultimate - Female Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1517,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,actuary.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"American Academy of Actuaries CSO Task Force, “Final Report of the American Academy of Actuaries’ Commissioners Standard Ordinary Task Force”, American Academy of Actuaries, (2002). Appendix J. Accessed: February, 2013 from http://dev.actuary.org/files/CSO_taskforce_appendix_j3_june2002.xls",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,CSO / CET,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Select and Ultimate Table -  Female Nonsmoker.  Basis: Age Last Birthday. Minimum Select Age: 0. Maximum Select Age: 99. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120.,,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The 2001 Commissioners Standard Ordinary (CSO) tables are based on Society of Actuaries’ (SOA) industry mortality experience collected over the years 1990-1995 for companies that participated in the study. Additional data from other sources was used to supplement the data at young and old ages where the experience data was sparse. The mortality was projected to the year 2001 using recent mortality improvement trends. Methodology:  The approach utilized in creating the 2001 age last birthday (ALB) tables, is the same as that used to create the 1980 CSO ALB tables as detailed in Transactions of the Society of Actuaries, Vol XXXIII (p. 671-672). During the select period, the lx’s utilized were those derived from adjacent issue ages. Data Transcription Errors: None:  Data Certified: 02/2013",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Select and Ultimate Table -  Female Nonsmoker.  Basis: Age Last Birthday. Minimum Select Age: 0. Maximum Select Age: 99.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00039,0.00041,0.00043,0.00045,0.00045,0.00047,0.00048,0.00048,0.0005
1,,,,,,,,,,,,,,,,0.00039,0.0004,0.00042,0.00044,0.00045,0.00047,0.00048,0.00048,0.00049,0.00051
2,,,,,,,,,,,,,,,0.00038,0.0004,0.00042,0.00044,0.00044,0.00046,0.00048,0.00048,0.00049,0.00051,0.00054
3,,,,,,,,,,,,,,0.00038,0.00039,0.00041,0.00043,0.00044,0.00046,0.00047,0.00048,0.00049,0.00051,0.00054,0.00057
4,,,,,,,,,,,,,0.00037,0.00039,0.00041,0.00042,0.00043,0.00046,0.00047,0.00048,0.00049,0.00051,0.00054,0.00057,0.0006
5,,,,,,,,,,,,0.00037,0.00038,0.0004,0.00042,0.00043,0.00045,0.00047,0.00048,0.00049,0.00051,0.00054,0.00057,0.00059,0.00062
6,,,,,,,,,,,0.00036,0.00038,0.0004,0.00041,0.00042,0.00045,0.00046,0.00048,0.00049,0.00051,0.00054,0.00057,0.00059,0.00062,0.00065
7,,,,,,,,,,0.00036,0.00037,0.00039,0.00041,0.00042,0.00044,0.00046,0.00047,0.00049,0.00051,0.00054,0.00057,0.00059,0.00062,0.00065,0.00069
8,,,,,,,,,0.00035,0.00037,0.00039,0.0004,0.00042,0.00043,0.00045,0.00047,0.00049,0.00051,0.00053,0.00057,0.00059,0.00062,0.00065,0.00069,0.00073
9,,,,,,,,0.00035,0.00036,0.00038,0.0004,0.00041,0.00043,0.00044,0.00046,0.00048,0.0005,0.00053,0.00056,0.00059,0.00062,0.00065,0.00069,0.00073,0.00079
10,,,,,,,0.00034,0.00036,0.00037,0.00039,0.0004,0.00042,0.00044,0.00045,0.00048,0.0005,0.00052,0.00056,0.00059,0.00062,0.00065,0.00069,0.00073,0.00078,0.00085
11,,,,,,0.00033,0.00035,0.00036,0.00038,0.00039,0.00041,0.00043,0.00045,0.00047,0.00049,0.00052,0.00055,0.00058,0.00062,0.00065,0.00069,0.00073,0.00078,0.00084,0.00091
12,,,,,0.00033,0.00034,0.00035,0.00037,0.00038,0.0004,0.00042,0.00044,0.00046,0.00049,0.00051,0.00055,0.00058,0.00061,0.00065,0.00069,0.00073,0.00078,0.00084,0.00091,0.00098
13,,,,0.00033,0.00034,0.00034,0.00036,0.00037,0.00039,0.00041,0.00043,0.00045,0.00048,0.00051,0.00054,0.00058,0.00061,0.00065,0.00069,0.00073,0.00078,0.00084,0.00091,0.00097,0.00103
14,,,0.00033,0.00034,0.00034,0.00035,0.00037,0.00037,0.0004,0.00041,0.00044,0.00047,0.00051,0.00054,0.00057,0.00061,0.00065,0.00069,0.00073,0.00078,0.00084,0.00091,0.00097,0.00103,0.00109
15,,0.00033,0.00034,0.00034,0.00035,0.00036,0.00037,0.00038,0.00041,0.00042,0.00046,0.0005,0.00053,0.00057,0.00061,0.00065,0.00069,0.00073,0.00078,0.00084,0.00091,0.00097,0.00102,0.00109,0.00116
16,0.00033,0.00034,0.00034,0.00034,0.00035,0.00036,0.00038,0.0004,0.00042,0.00044,0.00048,0.00052,0.00056,0.0006,0.00065,0.00069,0.00073,0.00078,0.00084,0.00091,0.00097,0.00102,0.00109,0.00116,0.00123
17,0.00034,0.00034,0.00034,0.00034,0.00035,0.00037,0.00038,0.00041,0.00043,0.00047,0.00051,0.00055,0.0006,0.00064,0.00069,0.00073,0.00078,0.00084,0.00091,0.00097,0.00102,0.00109,0.00116,0.00123,0.00131
18,0.00033,0.00033,0.00033,0.00034,0.00036,0.00037,0.00039,0.00043,0.00046,0.0005,0.00054,0.00059,0.00064,0.00069,0.00073,0.00078,0.00084,0.00091,0.00097,0.00102,0.00109,0.00116,0.00123,0.00131,0.0014
19,0.00031,0.00032,0.00033,0.00035,0.00036,0.00038,0.00041,0.00045,0.00049,0.00053,0.00058,0.00063,0.00068,0.00073,0.00078,0.00084,0.00091,0.00097,0.00102,0.00109,0.00116,0.00123,0.00131,0.0014,0.00151
