Table Name:,"2001 VBT Preferred Select and Ultimate - Female Smoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1124,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"illinghast, “American Council of Life Insurers: Preferred Version of 2001 CSO Mortality Tables”, Towers Perrin (Atlanta, 2006) Attachment B.1.b.iv. Accessed: January, 2013 from http://www.soa.org/2001-CSO-Preferred-Class-Structure-Mortality-Tables.pdf",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Preferred Select and Ultimate Table - Female Smoker.  Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 99. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120,,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: A preferred version of the 2001 Valuation Basic Table (VBT) table (See SOA Table Identities 1148-1153) was not initially constructed as data on preferred risk mortality was considered inadequate at the time. In 2005, the American Council of Life Insurers engaged Tillinghast to develop a version of the 2001 Commissioners Standard Ordinary (CSO) for preferred risks. Tillinghast relied on the initial 1990-95 SOA experience data underlying the 2001 CSO tables (See SOA Table Identities 1136-1141) and 2001 VBT. They then supplemented the information with data from the SOA’s 1996-2001 individual life mortality experience study, the 1994 and 2005 SOA Preferred Risk Underwriting surveys, Tillinghast’s Old Age Mortality Study (TOAMS), Steve Cox’s 2004 article “Does Preferred Wear Off”, and various medical studies for specific health impairments. Methodology: Both the 2001 CSO and 2001 VBT non-smoker mortality tables were split into super-preferred, preferred, and residual standard. The respective CSO and VBT smoker tables were split into preferred and residual standard. Ratios of preferred risk to aggregate risk, as well as the principle of conservation of deaths, were used to accomplish the splits. Estimates were derived for the level of preferred risk early duration mortality and the persistence of preferred risk mortality differentials. The effects of underwriting selection were incorporated by looking at specific health impairments, namely: alcoholism, cholesterol levels, blood pressure and diabetes. The same loading formula for developing the 2001 CSO from the 2001 VBT was used to construct the preferred risk tables. Data Transcription Errors: None. Data Certified: 01/2013",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Preferred Select and Ultimate Table - Female Smoker.  Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 99.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00023,0.00026,0.00029,0.00032,0.00034,0.00036,0.00038,0.00039,0.00042
1,,,,,,,,,,,,,,,,0.00022,0.00025,0.00028,0.00031,0.00034,0.00036,0.00038,0.00039,0.00041,0.00043
2,,,,,,,,,,,,,,,0.00022,0.00025,0.00028,0.00031,0.00032,0.00036,0.00038,0.00039,0.00041,0.00043,0.00047
3,,,,,,,,,,,,,,0.00022,0.00024,0.00027,0.00029,0.00032,0.00034,0.00037,0.00039,0.00041,0.00043,0.00047,0.0005
4,,,,,,,,,,,,,0.00022,0.00024,0.00027,0.00029,0.00032,0.00034,0.00037,0.00039,0.00041,0.00043,0.00047,0.0005,0.00054
5,,,,,,,,,,,,0.00021,0.00023,0.00026,0.00029,0.00032,0.00034,0.00037,0.00039,0.00041,0.00043,0.00047,0.0005,0.00054,0.00058
6,,,,,,,,,,,0.00021,0.00023,0.00026,0.00028,0.00031,0.00034,0.00036,0.00039,0.00041,0.00043,0.00046,0.0005,0.00053,0.00057,0.00059
7,,,,,,,,,,0.00021,0.00022,0.00025,0.00028,0.0003,0.00033,0.00036,0.00038,0.00041,0.00043,0.00046,0.0005,0.00053,0.00057,0.00059,0.00064
8,,,,,,,,,0.0002,0.00022,0.00025,0.00027,0.0003,0.00032,0.00035,0.00038,0.00041,0.00043,0.00046,0.0005,0.00053,0.00057,0.00059,0.00064,0.00069
9,,,,,,,,0.0002,0.00022,0.00025,0.00027,0.00029,0.00032,0.00034,0.00037,0.00041,0.00043,0.00046,0.00049,0.00053,0.00057,0.00059,0.00064,0.00069,0.00075
10,,,,,,,0.00019,0.00022,0.00024,0.00027,0.00028,0.00031,0.00034,0.00036,0.00039,0.00043,0.00046,0.00049,0.00053,0.00057,0.00059,0.00064,0.00069,0.00075,0.00082
11,,,,,,0.00018,0.00021,0.00024,0.00025,0.00028,0.0003,0.00033,0.00036,0.00039,0.00043,0.00046,0.00048,0.00052,0.00057,0.00059,0.00064,0.00069,0.00074,0.0008,0.0009
12,,,,,0.00018,0.0002,0.00023,0.00025,0.00027,0.00029,0.00032,0.00035,0.00039,0.00041,0.00044,0.00048,0.00052,0.00056,0.00059,0.00064,0.00069,0.00074,0.0008,0.0009,0.00097
13,,,,0.00018,0.0002,0.00022,0.00024,0.00027,0.00028,0.00032,0.00034,0.00037,0.00041,0.00044,0.00047,0.00052,0.00056,0.00059,0.00064,0.00069,0.00074,0.0008,0.0009,0.00097,0.00105
14,,,0.00018,0.0002,0.00021,0.00023,0.00025,0.00027,0.0003,0.00032,0.00036,0.0004,0.00043,0.00047,0.00051,0.00056,0.00059,0.00064,0.00069,0.00074,0.0008,0.0009,0.00097,0.00104,0.00111
15,,0.00018,0.0002,0.00021,0.00023,0.00025,0.00027,0.00028,0.00032,0.00034,0.00039,0.00042,0.00046,0.0005,0.00055,0.00059,0.00064,0.00069,0.00074,0.0008,0.0009,0.00096,0.00103,0.0011,0.00118
16,0.00018,0.0002,0.00021,0.00022,0.00024,0.00026,0.00027,0.0003,0.00034,0.00036,0.0004,0.00045,0.00049,0.00054,0.00059,0.00064,0.00069,0.00074,0.0008,0.0009,0.00096,0.00103,0.0011,0.00118,0.00125
17,0.0002,0.00021,0.00022,0.00023,0.00025,0.00027,0.00029,0.00032,0.00036,0.00039,0.00043,0.00048,0.00053,0.00058,0.00064,0.00069,0.00074,0.0008,0.0009,0.00096,0.00103,0.0011,0.00118,0.00125,0.00133
18,0.0002,0.00022,0.00022,0.00024,0.00026,0.00027,0.00031,0.00035,0.00039,0.00042,0.00047,0.00053,0.00057,0.00064,0.00069,0.00074,0.0008,0.0009,0.00096,0.00103,0.0011,0.00118,0.00125,0.00133,0.00144
19,0.0002,0.00022,0.00023,0.00025,0.00027,0.00029,0.00033,0.00036,0.00041,0.00045,0.00051,0.00057,0.00063,0.00069,0.00074,0.0008,0.0009,0.00096,0.00103,0.0011,0.00118,0.00125,0.00133,0.00144,0.00157
