Table Name:,2015 VBT Unismoke Male ANB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3273,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Society of Actuaries website, 2015 Valuation Basic Tables. Accessed: March, 2016 from https://www.soa.org/resources/experience-studies/2015/2015-valuation-basic-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 Valuation Basic Table (VBT) Unismoke Table - Male, Age Nearest Birthday. Minimum Age: 0. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The 2015 VBT was developed based on the mortality experience from the SOA Individual Life Experience Committee studies from the 2002-2009 study period. Additional data from other sources was used to supplement the 2002-2009 experience at younger and older ages where industry experience was sparse. To develop the 2015 VBT table, the mortality was projected from March 1st, 2006 to July 1st, 2015, using recent mortality improvement trends. Data Certified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 VBT Unismoke Table - Male, Age Nearest Birthday, Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.00024,0.00014,0.00012,0.0001,9E-05,9E-05,8E-05,8E-05,8E-05,8E-05,8E-05,8E-05,0.0001,0.00013,0.00019,0.00029,0.00042,0.00057,0.00072,0.00082,0.00086,0.00088,0.00088,0.00088,0.00088
1,0.00014,0.00012,0.0001,9E-05,9E-05,8E-05,8E-05,8E-05,8E-05,8E-05,8E-05,0.0001,0.00013,0.00019,0.00029,0.00042,0.00057,0.00072,0.00082,0.00086,0.00088,0.00088,0.00088,0.00088,0.00088
2,0.00012,0.0001,9E-05,9E-05,8E-05,8E-05,8E-05,8E-05,8E-05,8E-05,0.0001,0.00013,0.00019,0.00029,0.00042,0.00057,0.00072,0.00082,0.00086,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088
3,0.0001,9E-05,9E-05,8E-05,8E-05,8E-05,8E-05,8E-05,8E-05,0.0001,0.00013,0.00019,0.00029,0.00042,0.00057,0.00072,0.00082,0.00086,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00087
4,9E-05,9E-05,8E-05,8E-05,8E-05,8E-05,8E-05,8E-05,0.0001,0.00013,0.00019,0.00029,0.00042,0.00057,0.00072,0.00082,0.00086,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00087,0.00085
5,9E-05,8E-05,8E-05,8E-05,8E-05,8E-05,8E-05,0.0001,0.00013,0.00019,0.00029,0.00042,0.00057,0.00072,0.00082,0.00086,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00087,0.00085,0.00084
6,8E-05,8E-05,8E-05,8E-05,8E-05,8E-05,0.0001,0.00013,0.00019,0.00029,0.00042,0.00057,0.00072,0.00082,0.00086,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00087,0.00085,0.00084,0.00084
7,8E-05,8E-05,8E-05,8E-05,8E-05,0.0001,0.00013,0.00019,0.00029,0.00042,0.00057,0.00072,0.00082,0.00086,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00087,0.00085,0.00084,0.00084,0.00088
8,8E-05,8E-05,8E-05,8E-05,0.0001,0.00013,0.00019,0.00029,0.00042,0.00057,0.00072,0.00082,0.00086,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00087,0.00085,0.00084,0.00084,0.00088,0.00093
