Table Name:,"2001 VBT Select and Ultimate - Female Composite, ALB ",,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1145,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Individual Life Insurance Valuation Mortality Task Force, “Final Report of the American Individual Life Insurance Valuation Mortality Task Force 2001- Valuation Basic Mortality Table (2001 VBT)”, Society of Actuaries, (2005). Accessed: February 2013 from http://www.soa.org/files/research/valuationbasicmortalitytable.pdf",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Select and Ultimate Table - Female Composite. Basis: Age Last Birthday. Minimum Select Age: 0. Maximum Select Age: 99. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120,,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The 2001 Valuation Basic Tables (VBT) are based on the 1990-1995 Basic Tables that were developed by the Society of Actuaries’ (SOA) Individual Experience Studies Committee. The 1990-1995 Basic Tables are based on the mortality experience collected annually by the SOA over the years 1990-1995 for companies that participated in the study. Additional data from other sources was used to supplement the 1990-1995 Basic Tables at young and old ages where the experience data was sparse. The mortality was projected to the year 2001 using recent mortality improvement trends. Methodology:  The approach utilized in creating the 2001 age last birthday (ALB) tables, is the same as that used to create the 1980 CSO ALB tables as detailed in Transactions of the Society of Actuaries, Vol XXXIII (p. 671-672). During the select period, the lx’s utilized were those derived from adjacent issue ages. Data Transcription Errors: None:  Data Certified: 02/2013",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Select and Ultimate Table - Female Composite. Basis: Age Last Birthday. Minimum Select Age: 0. Maximum Select Age: 99.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
