Table Name:,"2001 CSO Super Preferred Select and Ultimate - Male Nonsmoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1096,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,actuary.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Tillinghast, “American Council of Life Insurers: Preferred Version of 2001 CSO Mortality Tables”, Towers Perrin (Atlanta, 2006) Attachment A.3.a.i and A.4.a.i Accessed: January, 2013 from http://www.soa.org/2001-CSO-Preferred-Class-Structure-Mortality-Tables.pdf",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,CSO/CET,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2001 Commissioners Standard Ordinary (CSO) Super Preferred Select & Ultimate Table - Male, Nonsmoker. Basis: Age Last Birthday. Minimum Select Age: 0. Maximum Select Age: 99. Minimum Ultimate Age: 16. Maximum Ultimate Age: 120",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: A preferred version of the 2001 Commissioners Standard Ordinary (CSO) table (See SOA Table Identities 1136-1141) was not initially constructed as data on preferred risk mortality was considered inadequate at the time. In 2005, the American Council of Life Insurers engaged Tillinghast to develop a version of the 2001 CSO for preferred risks. Tillinghast relied on the initial 1990-95 SOA experience data underlying the 2001 CSO tables and 2001 Valuation Basic Table (VBT) tables (See SOA Table Identities 1148-1153). They then supplemented the information with data from the SOA’s 1996-2001 individual life mortality experience study, the 1994 and 2005 SOA Preferred Risk Underwriting surveys, Tillinghast’s Old Age Mortality Study (TOAMS), Steve Cox’s 2004 article “Does Preferred Wear Off”, and various medical studies for specific health impairments. Methodology: Both the 2001 and 2001 VBT CSO non-smoker mortality tables were split into super-preferred, preferred, and residual standard. The respective CSO and VBT smoker tables were split into preferred and residual standard. Ratios of preferred risk to aggregate risk, as well as the principle of conservation of deaths, were used to accomplish the splits. Estimates were derived for the level of preferred risk early duration mortality and the persistence of preferred risk mortality differentials. The effects of underwriting selection were incorporated by looking at specific health impairments, namely: alcoholism, cholesterol levels, blood pressure and diabetes. The same loading formula for developing the 2001 CSO from the 2001 VBT was used to construct the preferred risk tables. NOTE: Table is a combination of “Select and Ultimate” A.3.a.i  and “Ultimate” A.4.a.i thus ultimate values start at age 16 rather than 25. Data Transcription Errors: None. Data Certified: 01/2013.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,CSO/CET,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2001 Commissioners Standard Ordinary (CSO) Super Preferred Select and Ultimate Table - Male, Nonsmoker. Basis: Age Last Birthday. Minimum Select Age: 0. Maximum Select Age: 99.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00043,0.00048,0.0005,0.00052,0.00052,0.00052,0.00053,0.00053,0.00054
1,,,,,,,,,,,,,,,,0.00041,0.00046,0.0005,0.00051,0.00052,0.00052,0.00053,0.00053,0.00054,0.00055
2,,,,,,,,,,,,,,,0.0004,0.00044,0.00048,0.00051,0.00051,0.00052,0.00053,0.00053,0.00054,0.00055,0.00057
3,,,,,,,,,,,,,,0.00039,0.00044,0.00048,0.0005,0.00051,0.00052,0.00053,0.00053,0.00054,0.00055,0.00056,0.00058
4,,,,,,,,,,,,,0.00039,0.00044,0.00048,0.0005,0.00051,0.00052,0.00053,0.00053,0.00054,0.00055,0.00056,0.00057,0.00058
5,,,,,,,,,,,,0.00039,0.00044,0.00048,0.0005,0.00051,0.00052,0.00053,0.00053,0.00054,0.00055,0.00055,0.00056,0.00057,0.00057
6,,,,,,,,,,,0.00039,0.00044,0.00048,0.0005,0.00051,0.00051,0.00052,0.00052,0.00053,0.00054,0.00054,0.00055,0.00056,0.00056,0.00057
7,,,,,,,,,,0.00039,0.00044,0.00048,0.0005,0.00051,0.00051,0.00052,0.00052,0.00053,0.00054,0.00054,0.00055,0.00056,0.00056,0.00057,0.00058
8,,,,,,,,,0.00039,0.00044,0.00048,0.0005,0.0005,0.0005,0.00051,0.00051,0.00053,0.00054,0.00054,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059
9,,,,,,,,0.00039,0.00044,0.00047,0.0005,0.0005,0.0005,0.00051,0.00051,0.00052,0.00054,0.00054,0.00055,0.00056,0.00056,0.00057,0.00058,0.00059,0.00061
