Table Name:,"2001 VBT Select and Ultimate - Male Nonsmoker, ANB ",,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1149,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"American Academy of Actuaries CSO Task Force, “Final Report of the American Academy of Actuaries’ Commissioners Standard Ordinary Task Force”, American Academy of Actuaries, (2002). Appendix A. Accessed January, 2013 from http://dev.actuary.org/files/CSO_taskforce_appendix_a_june2002.xls",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Select and Ultimate Table -  Male Nonsmoker.  Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 100. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120.,,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The 2001 Valuation Basic Tables (VBT) are based on the 1990-1995 Basic Tables that were developed by the Society of Actuaries’ (SOA) Individual Experience Studies Committee. The 1990-1995 Basic Tables are based on the mortality experience collected annually by the SOA over the years 1990-1995 for companies that participated in the study. Additional data from other sources was used to supplement the 1990-1995 Basic Tables at young and old ages where the experience data was sparse. The mortality was projected to the year 2001 using recent mortality improvement trends. Methodology: The first step in developing the 2001 VBT utilizing the 1990-95 Basic Mortality Tables was the creation of composite (combination of smoker, nonsmoker and those with smoking status unknown) tables for each of male and female lives. A 25-year select period was chosen. At younger and older issue ages, per the data, the effect of selection wore off in less than 25 years thus mortality rates for the remainder of the select period were set equal to the ultimate mortality rates for the corresponding attained age. The 1990-1995 Basic Tables were graduated to provide the smoothness necessary for a valuation table A two-dimensional Whittaker-Henderson Type B graduation method was employed to ensure smoothness; note this graduation method is different from the Jenkins fifth-difference interpolation used in the development of the 1980 Commissioners Standard Ordinary (CSO) Table. The type of loading formula employed is however similar to that used to develop the 1980 CSO Tables: an inverse function of the curtate expectation of life. The loadings above age 100 were modified so that the load produced by the formula at age 100 was linearly graded to zero at age 120. The projection of annual male mortality improvement in the is 0.0 percent at attained ages 0-45, grading to 1.0 percent at attained ages 55-80, and grading back to 0.0 percent at attained ages 90+. The annual female mortality improvement is 0.0 percent at attained ages 0-45, grading to 0.5 percent at attained ages 55-85, and grading back to 0.0 percent at attained ages 90+. NOTE: nonsmoker and smoker splits are not applicable for juvenile ages. Accordingly, rates from the corresponding composite tables are printed for those ages. Data Transcription Errors: None:  Data Certified: 01/2013.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Select and Ultimate Table -  Male Nonsmoker.  Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 100.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",100,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.0009,0.00049,0.00032,0.0002,0.00014,0.00014,0.00015,0.00015,0.00015,0.00016,0.00016,0.0002,0.00026,0.00031,0.00039,0.00053,0.00066,0.00077,0.00083,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085
1,0.0004,0.00029,0.00019,0.00014,0.00014,0.00014,0.00015,0.00015,0.00015,0.00016,0.00018,0.00022,0.00028,0.00033,0.0005,0.00063,0.00073,0.00081,0.00084,0.00085,0.00085,0.00085,0.00085,0.00085,0.00086
2,0.00028,0.00019,0.00014,0.00014,0.00014,0.00014,0.00015,0.00015,0.00015,0.00016,0.00019,0.00025,0.00029,0.0004,0.0006,0.0007,0.00078,0.00083,0.00084,0.00085,0.00085,0.00085,0.00085,0.00086,0.00088
3,0.00017,0.00013,0.00013,0.00014,0.00014,0.00014,0.00015,0.00015,0.00015,0.00018,0.00024,0.00028,0.00039,0.00058,0.00068,0.00076,0.00082,0.00084,0.00085,0.00085,0.00085,0.00085,0.00086,0.00087,0.0009
4,0.00013,0.00013,0.00013,0.00014,0.00014,0.00014,0.00015,0.00015,0.00018,0.00023,0.00028,0.00039,0.00058,0.00068,0.00076,0.00082,0.00084,0.00085,0.00085,0.00085,0.00085,0.00086,0.00087,0.00088,0.00088
5,0.00013,0.00013,0.00013,0.00014,0.00014,0.00014,0.00015,0.00017,0.00022,0.00027,0.00039,0.00057,0.00068,0.00076,0.00082,0.00084,0.00085,0.00085,0.00085,0.00085,0.00086,0.00086,0.00086,0.00086,0.00086
6,0.00013,0.00013,0.00013,0.00014,0.00014,0.00014,0.00017,0.00022,0.00026,0.00038,0.00057,0.00068,0.00076,0.00082,0.00084,0.00084,0.00084,0.00084,0.00084,0.00084,0.00084,0.00084,0.00084,0.00084,0.00084
7,0.00013,0.00013,0.00013,0.00014,0.00014,0.00017,0.00021,0.00026,0.00037,0.00057,0.00068,0.00076,0.00082,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083
8,0.00013,0.00013,0.00013,0.00014,0.00016,0.0002,0.00025,0.00037,0.00056,0.00068,0.00076,0.00081,0.00082,0.00082,0.00082,0.00082,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083
9,0.00013,0.00013,0.00013,0.00016,0.00019,0.00025,0.00036,0.00056,0.00068,0.00076,0.00081,0.00081,0.00081,0.00081,0.00081,0.00081,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00084
10,0.00013,0.00013,0.00015,0.00019,0.00025,0.00035,0.00056,0.00067,0.00076,0.0008,0.0008,0.0008,0.0008,0.0008,0.00081,0.00082,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00084,0.00085
11,0.00013,0.00015,0.00018,0.00024,0.00034,0.00056,0.00067,0.00076,0.00079,0.00079,0.00079,0.00079,0.00079,0.0008,0.00081,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00084,0.00085,0.00087
12,0.00014,0.00017,0.00024,0.00033,0.00056,0.00067,0.00076,0.00078,0.00078,0.00078,0.00078,0.00078,0.00079,0.00081,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00084,0.00085,0.00087,0.00091
13,0.00016,0.00023,0.00032,0.00056,0.00067,0.00076,0.00077,0.00077,0.00077,0.00077,0.00077,0.00079,0.0008,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00084,0.00085,0.00087,0.00091,0.00095
14,0.00022,0.00031,0.00056,0.00067,0.00076,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00079,0.00082,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00084,0.00085,0.00087,0.00091,0.00095,0.00102
15,0.0003,0.00056,0.00067,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00078,0.0008,0.00083,0.00083,0.00083,0.00083,0.00083,0.00083,0.00084,0.00085,0.00087,0.00091,0.00095,0.00102,0.00109
16,0.00056,0.00067,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00076,0.00078,0.00081,0.00082,0.00083,0.00083,0.00083,0.00083,0.00084,0.00085,0.00087,0.00091,0.00095,0.00102,0.00109,0.00116
17,0.00067,0.00074,0.00074,0.00074,0.00074,0.00074,0.00074,0.00074,0.00075,0.00077,0.00078,0.0008,0.0008,0.0008,0.0008,0.0008,0.00084,0.00085,0.00087,0.00091,0.00095,0.00102,0.00109,0.00116,0.00126
18,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00073,0.00075,0.00075,0.00076,0.00077,0.00077,0.00079,0.0008,0.0008,0.00085,0.00086,0.00091,0.00095,0.00102,0.00109,0.00116,0.00126,0.00139
19,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.00072,0.00072,0.00072,0.00073,0.00073,0.00074,0.00077,0.0008,0.00082,0.00086,0.00091,0.00095,0.00102,0.00108,0.00116,0.00126,0.00139,0.00153
20,0.00066,0.00066,0.00066,0.00066,0.00066,0.00067,0.00067,0.00068,0.00068,0.00068,0.00069,0.0007,0.00072,0.00076,0.00082,0.00086,0.0009,0.00095,0.00102,0.00108,0.00116,0.00126,0.00139,0.00153,0.00171
21,0.0006,0.0006,0.0006,0.0006,0.00061,0.00062,0.00063,0.00063,0.00064,0.00065,0.00066,0.00069,0.00072,0.00077,0.00084,0.0009,0.00095,0.00102,0.00108,0.00116,0.00126,0.00139,0.00153,0.00171,0.00191
