Table Name:,2017 Loaded CSO Smoker Gender-Blended 50% Male ALB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3336,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Joint American Academy of Actuaries' Life Experience Committee and Society of Actuaries Preferred Mortality Oversight Group CSO Development Subgroup, ""Report on the 2017 CSO  and on the 2017 CSO Preferred Structure Table Development"", American Academy of Actuaries, (2015). Appendix K. Accessed: February, 2016 from https://www.soa.org/resources/experience-studies/2015/2017-cso-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,CSO / CET,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Smoker Gender-Blended, 50%, Male, Age Last Birthday. Minimum Age: 18. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"The 2017 Commissioners Standard Ordinary Tables (CSO) are a series of mortality tables developed for regulatory uses including CRVM, net premium reserves and non-forfeiture determination. The tables were based on life insurance mortality experience from 2002 to 2009, projected with improvement to 2017.  The tables include a margin to cover the variation of individual company’s mortality around the industry mean. Table uploaded: 02/2016. Select rates at ages 0-17 for certain durations and ultimate rates at ages 18-27, 29, 30, 32 and 37 were modified 09/2016. Data verified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,CSO/CET,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Smoker Gender-Blended, 50%, Male, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Select Age: 18. Maximum Select Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00057,0.00059,0.0006,0.00061,0.00063,0.00066,0.0007,0.00071,0.00071,0.00071,0.00071,0.00072,0.00075,0.00079,0.00085,0.00095,0.00106,0.00118,0.00133,0.0015,0.00167,0.00186,0.00205,0.00224,0.00242
19,0.00054,0.00055,0.00056,0.00058,0.00061,0.00065,0.00066,0.00067,0.00067,0.00068,0.0007,0.00072,0.00077,0.00083,0.00093,0.00104,0.00115,0.0013,0.00147,0.00166,0.00185,0.00204,0.00223,0.00241,0.00257
20,0.0005,0.00051,0.00053,0.00056,0.00059,0.00061,0.00063,0.00063,0.00065,0.00067,0.0007,0.00074,0.0008,0.0009,0.00102,0.00113,0.00127,0.00145,0.00164,0.00183,0.00203,0.00222,0.0024,0.00256,0.00271
21,0.00045,0.00047,0.0005,0.00053,0.00056,0.00058,0.0006,0.00062,0.00065,0.00068,0.00072,0.00078,0.00088,0.00099,0.00111,0.00125,0.00143,0.00162,0.00181,0.00201,0.00221,0.00239,0.00255,0.0027,0.00288
22,0.00042,0.00044,0.00047,0.00051,0.00054,0.00056,0.00058,0.00061,0.00066,0.0007,0.00076,0.00086,0.00097,0.00109,0.00122,0.00141,0.0016,0.00179,0.00199,0.00219,0.00238,0.00254,0.00269,0.00287,0.00311
23,0.0004,0.00043,0.00045,0.00049,0.00052,0.00055,0.00058,0.00063,0.00068,0.00074,0.00083,0.00095,0.00106,0.0012,0.00138,0.00159,0.00177,0.00196,0.00216,0.00236,0.00253,0.00268,0.00286,0.0031,0.00335
24,0.00039,0.00041,0.00043,0.00047,0.00051,0.00054,0.0006,0.00065,0.00072,0.0008,0.00092,0.00103,0.00117,0.00134,0.00155,0.00175,0.00194,0.00214,0.00233,0.00252,0.00267,0.00286,0.00309,0.00335,0.00362
25,0.00036,0.00039,0.00042,0.00046,0.00051,0.00056,0.00062,0.00069,0.00077,0.00088,0.001,0.00113,0.00131,0.00151,0.00171,0.00191,0.00211,0.00231,0.00249,0.00266,0.00286,0.00309,0.00334,0.00362,0.00392
